name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
JAMSHORO,JAMSHORO,DISTRICT,70 - 74,OTHERS,4,3,1,3,2,1,1,1,,,,
JAMSHORO,JAMSHORO,DISTRICT,70 - 74,PAKISTANI,9628,5310,4318,4521,2458,2063,5106,2852,2254,1,,1
JAMSHORO,JAMSHORO,DISTRICT,75 & ABOVE,AFGHANI,6,2,4,2,,2,4,2,2,,,
JAMSHORO,JAMSHORO,DISTRICT,75 & ABOVE,BENGALI,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,75 & ABOVE,CHINESE,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,75 & ABOVE,OTHERS,4,4,,,,,4,4,,,,
JAMSHORO,JAMSHORO,DISTRICT,75 & ABOVE,PAKISTANI,8573,5387,3186,4159,2563,1596,4414,2824,1590,,,
JAMSHORO,JAMSHORO,DISTRICT,ALL AGES,AFGHANI,360,126,234,168,57,111,192,69,123,,,
JAMSHORO,JAMSHORO,DISTRICT,ALL AGES,BENGALI,9,3,6,5,3,2,4,,4,,,
JAMSHORO,JAMSHORO,DISTRICT,ALL AGES,CHINESE,4,1,3,1,,1,3,1,2,,,
JAMSHORO,JAMSHORO,DISTRICT,ALL AGES,OTHERS,293,180,113,151,94,57,142,86,56,,,
JAMSHORO,JAMSHORO,DISTRICT,ALL AGES,PAKISTANI,1116550,595160,521390,538832,285695,253137,577651,309456,268195,67,9,58
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,00 - 04,AFGHANI,22,16,6,9,6,3,13,10,3,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,00 - 04,BENGALI,1,1,,1,1,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,00 - 04,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,00 - 04,OTHERS,17,16,1,10,9,1,7,7,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,00 - 04,PAKISTANI,276163,203950,72213,132081,97786,34295,144082,106164,37918,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,05 - 09,AFGHANI,24,16,8,6,3,3,18,13,5,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,05 - 09,BENGALI,2,2,,1,1,,1,1,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,05 - 09,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,05 - 09,OTHERS,24,19,5,9,7,2,15,12,3,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,05 - 09,PAKISTANI,251402,185652,65750,118011,86764,31247,133391,98888,34503,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,10 - 14,AFGHANI,16,11,5,9,6,3,7,5,2,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,10 - 14,BENGALI,1,1,,1,1,,,,,,,
